,id,date,bedrooms,sqft_lot,price,level
0,7129300520,2014-10-13,3,5650,221900.0,low
1,6414100192,2014-12-09,3,7242,538000.0,low
2,5631500400,2015-02-25,2,10000,180000.0,low
3,2487200875,2014-12-09,4,5000,604000.0,high
4,1954400510,2015-02-18,3,8080,510000.0,low
5,7237550310,2014-05-12,4,101930,1225000.0,high
6,1321400060,2014-06-27,3,6819,257500.0,low
7,2008000270,2015-01-15,3,9711,291850.0,low
8,2414600126,2015-04-15,3,7470,229500.0,low
9,3793500160,2015-03-12,3,6560,323000.0,low
10,1736800520,2015-04-03,3,9796,662500.0,high
11,9212900260,2014-05-27,2,6000,468000.0,low
12,114101516,2014-05-28,3,19901,310000.0,low
13,6054650070,2014-10-07,3,9680,400000.0,low
14,1175000570,2015-03-12,5,4850,530000.0,low
15,9297300055,2015-01-24,4,5000,650000.0,high
16,1875500060,2014-07-31,3,14040,395000.0,low
17,6865200140,2014-05-29,4,4300,485000.0,low
18,16000397,2014-12-05,2,9850,189000.0,low
19,7983200060,2015-04-24,3,9774,230000.0,low
20,6300500875,2014-05-14,4,4980,385000.0,low
21,2524049179,2014-08-26,3,44867,2000000.0,high
22,7137970340,2014-07-03,5,6300,285000.0,low
23,8091400200,2014-05-16,2,9643,252700.0,low
24,3814700200,2014-11-20,3,6500,329000.0,low
25,1202000200,2014-11-03,3,4697,233000.0,low
26,1794500383,2014-06-26,3,2691,937000.0,high
27,3303700376,2014-12-01,3,1581,667000.0,high
28,5101402488,2014-06-24,3,6380,438000.0,low
29,1873100390,2015-03-02,4,7173,719000.0,high
30,8562750320,2014-11-10,3,3980,580500.0,high
31,2426039314,2014-12-01,2,1265,280000.0,low
32,461000390,2014-06-24,4,5000,687500.0,high
33,7589200193,2014-11-10,3,3000,535000.0,low
34,7955080270,2014-12-03,4,6659,322500.0,low
35,9547205180,2014-06-13,3,3060,696000.0,high
36,9435300030,2014-05-28,4,34848,550000.0,high
37,2768000400,2014-12-30,4,6000,640000.0,high
38,7895500070,2015-02-13,4,8075,240000.0,low
39,2078500320,2014-06-20,4,7553,605000.0,high
40,5547700270,2014-07-15,4,5520,625000.0,high
41,7766200013,2014-08-11,4,24186,775000.0,high
42,7203220400,2014-07-07,5,5639,861990.0,high
43,9270200160,2014-10-28,3,2280,685000.0,high
44,1432701230,2014-07-29,3,9656,309000.0,low
45,8035350320,2014-07-18,3,13603,488000.0,low
46,8945200830,2015-03-25,3,8528,210490.0,low
47,4178300310,2014-07-16,4,13416,785000.0,high
48,9215400105,2015-04-28,3,5963,450000.0,low
49,822039084,2015-03-11,3,65005,1350000.0,high
50,5245600105,2014-09-16,3,9199,228000.0,low
51,7231300125,2015-02-17,5,9134,345000.0,low
52,7518505990,2014-12-31,3,4080,600000.0,high
53,3626039271,2015-02-05,2,8550,585000.0,high
54,4217401195,2015-03-03,5,6000,920000.0,high
55,9822700295,2014-05-12,4,5000,885000.0,high
56,9478500640,2014-08-19,4,4495,292500.0,low
57,2799800710,2015-04-07,3,4750,301000.0,low
58,7922800400,2014-08-27,5,14342,951000.0,high
59,8079040320,2015-02-23,4,9976,430000.0,low
60,1516000055,2014-12-10,3,21235,650000.0,high
61,9558200045,2014-08-28,3,8400,289000.0,low
62,5072410070,2014-10-21,3,8690,505000.0,low
63,9528102996,2014-12-07,3,1044,549000.0,high
64,1189001180,2014-06-03,3,6000,425000.0,low
65,3253500160,2014-11-20,3,3809,317625.0,low
66,3394100030,2014-09-09,4,11049,975000.0,high
67,3717000160,2014-10-09,4,4648,287000.0,low
68,1274500060,2014-08-25,3,12070,204000.0,low
69,1802000060,2014-06-12,5,20158,1325000.0,high
70,1525059190,2014-09-12,5,50094,1040000.0,high
71,1049000060,2015-01-05,3,5612,325000.0,low
72,8820901275,2014-06-10,4,7807,571000.0,high
73,5416510140,2014-07-10,4,5000,360000.0,low
74,3444100400,2015-03-16,3,50529,349000.0,low
75,3276920270,2014-11-05,4,35102,832500.0,high
76,4036801170,2014-10-13,4,7300,380000.0,low
77,2391600320,2015-04-20,3,5060,480000.0,low
78,6300000287,2014-06-09,3,5060,410000.0,low
79,1531000030,2015-03-23,4,39683,720000.0,high
80,5104520400,2014-12-02,3,5100,390000.0,low
81,7437100340,2014-12-22,4,5889,360000.0,low
82,9418400240,2014-10-28,2,6720,355000.0,low
83,1523059105,2015-01-28,3,8712,356000.0,low
84,1133000671,2014-06-02,3,6634,315000.0,low
85,4232902595,2014-11-14,3,3600,940000.0,high
86,2599001200,2014-11-03,5,8400,305000.0,low
87,3342103156,2014-06-18,3,6278,461000.0,low
88,1332700270,2014-05-19,2,2040,215000.0,low
89,3869900162,2014-09-04,2,1066,335000.0,low
90,2791500270,2014-05-22,4,7403,243500.0,low
91,5036300431,2015-03-11,5,6353,1099880.0,high
92,4168000060,2015-02-26,3,10500,153000.0,low
93,6021501535,2014-07-25,3,5000,430000.0,low
